beds,baths,area,price,county
3.0,3.0,253.06577480490526,2450000, Arabian Ranches
5.0,6.0,910.4422147900409,10999990, Jumeirah Park
3.0,4.0,185.8045336306206,1550000, Mudon
2.0,3.0,89.46488294314382,900000, Town Square
0.6,1.0,42.270531400966185,745000, Jumeirah Lake Towers (JLT)
2.0,3.0,249.9070977331847,1925000, Jumeirah Village Triangle (JVT)
6.0,5.0,750.5574136008919,10560000, Jumeirah Golf Estate
3.0,4.0,158.21256038647343,1112000, Akoya Oxygen
2.0,3.0,136.65923448532146,2500000, Old Town
2.0,3.0,131.17800074321815,725000, Jumeirah Village Circle (JVC)
0.6,1.0,27.59197324414716,750000, Barsha Heights (Tecom)
5.0,5.0,872.445187662579,8381944, Jumeirah Golf Estate
0.6,1.0,34.838350055741365,999000, Palm Jumeirah
1.0,2.0,64.9386845039019,1900000, Palm Jumeirah
3.0,4.0,238.2943143812709,1550000, Reem
4.0,4.0,290.04087699739875,2000000, Town Square
4.0,5.0,315.7748049052397,4419000, DAMAC Hills (Akoya by DAMAC)
1.0,1.0,83.61204013377927,550000, Jumeirah Village Circle (JVC)
2.0,3.0,90.39390561129692,963471, Dubai Production City (IMPZ)
2.0,3.0,106.65180230397623,918808, Jumeirah Village Circle (JVC)
0.6,1.0,49.14529914529915,330000, Dubai Sports City
1.0,2.0,89.18617614269789,567820, Dubai Sports City
5.0,6.0,577.9450018580453,4999999, The Villa
2.0,2.0,92.99516908212561,1110819, Jumeirah Village Circle (JVC)
4.0,5.0,699.08955778521,17355142, Palm Jumeirah
2.0,2.0,127.92642140468229,2000000, The Views
0.6,1.0,40.5982905982906,432567, Jumeirah Village Circle (JVC)
0.6,1.0,62.987736900780384,460000, Dubai Sports City
3.0,3.0,176.32850241545896,1048000, Dubai Silicon Oasis
3.0,3.0,206.33593459680418,1400000, Serena
2.0,3.0,106.18729096989968,1100000, Dubai Science Park
6.0,7.0,1579.338535860275,42000000, Emirates Hills
1.0,2.0,87.88554440728355,1041000, Jumeirah Village Circle (JVC)
2.0,2.0,107.76662950575995,1578888, Bur Dubai
2.0,3.0,104.14344109996284,1420000, Business Bay
4.0,5.0,232.627276105537,2077600, Motor City
3.0,3.0,206.4288368636195,1850000, Palm Jumeirah
1.0,2.0,65.867707172055,980828, Mohammad Bin Rashid City
0.6,1.0,46.45113340765515,310000, Dubai Production City (IMPZ)
2.0,3.0,123.09550353028615,2050000, Dubai Marina
1.0,1.0,70.41991824600521,760000, The Greens
3.0,5.0,325.34373838721666,2500000, DAMAC Hills (Akoya by DAMAC)
2.0,3.0,129.59866220735788,1395000, Bur Dubai
0.6,1.0,47.38015607580825,482222, Jumeirah Village Circle (JVC)
4.0,5.0,217.11259754738018,1800000, The Greens
1.0,2.0,62.987736900780384,420000, Dubai Sports City
3.0,5.0,273.69007803790413,7350000, Palm Jumeirah
3.0,4.0,174.74916387959868,1582127, Akoya Oxygen
3.0,4.0,198.25343738387218,1450000, Town Square
0.6,1.0,36.324786324786324,399000, Jumeirah Village Circle (JVC)
2.0,2.0,104.97956150130064,1350000, Dubai Science Park
3.0,4.0,251.95094760312153,3142553, Motor City
1.0,2.0,63.916759568933486,390000, Dubai Residence Complex
2.0,3.0,153.56744704570792,1650000, Dubai Marina
2.0,2.0,116.49944258639911,1797584, Mohammad Bin Rashid City
5.0,4.0,886.2876254180602,3750000, Jumeirah Golf Estate
1.0,2.0,90.30100334448161,863216, Jumeirah Village Circle (JVC)
1.0,1.0,75.25083612040135,800000, Dubai Sports City
5.0,6.0,697.5102192493497,7500000, Meydan City
5.0,7.0,361.668524712003,4000000, DAMAC Hills (Akoya by DAMAC)
0.6,1.0,50.910442214790045,1150800, Business Bay
0.6,1.0,49.88851727982163,429781, Dubai Residence Complex
5.0,5.0,382.2928279450019,3450000, Nad Al Sheba
6.0,7.0,763.3779264214047,14694000, Dubai Hills Estate
1.0,2.0,68.19026384243776,480000, Dubai Sports City
6.0,8.0,1534.1880341880342,23600000, Jumeirah Golf Estate
2.0,3.0,166.66666666666669,1395000, The Springs
0.6,1.0,36.13898179115571,543000, Al Furjan
2.0,3.0,174.0059457450762,2390000, Palm Jumeirah
3.0,4.0,306.577480490524,4750000, Dubai Marina
3.0,3.0,214.88294314381272,2800000, Dubai Marina
2.0,3.0,109.53177257525084,1100000, Dubai Marina
2.0,3.0,116.22073578595318,1094625, Jumeirah Village Circle (JVC)
0.6,1.0,41.898922333704945,449999, Dubai Sports City
2.0,4.0,189.89223337049424,1700000, Jumeirah Lake Towers (JLT)
1.0,1.0,64.9386845039019,805000, Al Furjan
1.0,2.0,92.80936454849498,1436000, Bur Dubai
3.0,4.0,207.07915273132664,1200000, Town Square
3.0,5.0,216.74098848011892,1810000, Jumeirah Village Circle (JVC)
1.0,2.0,78.96692679301376,890000, Dubai Marina
5.0,5.0,227.88926049795617,1350000, Akoya Oxygen
2.0,2.0,86.5849126718692,575000, Dubai Silicon Oasis
2.0,2.0,134.429580081754,700000, Dubai Sports City
5.0,6.0,529.5429208472688,4399999, The Villa
1.0,1.0,92.9022668153103,1200000, The Views
3.0,4.0,159.88480118914902,1800000, Dubai Marina
5.0,6.0,988.294314381271,22167000, Palm Jumeirah
4.0,3.0,355.9085841694538,2900000, Dubai Silicon Oasis
2.0,3.0,115.19881085098477,2232000, DAMAC Hills (Akoya by DAMAC)
4.0,6.0,722.0364176885917,5100000, Jumeirah Golf Estate
3.0,3.0,185.8045336306206,1475000, Mudon
1.0,2.0,84.54106280193237,1300000, Business Bay
4.0,4.0,454.477889260498,3000000, Jumeirah Park
3.0,3.0,92.9022668153103,967000, Arjan
3.0,4.0,154.58937198067633,3886680, Palm Jumeirah
3.0,4.0,166.9453734671126,4100000, Business Bay
2.0,3.0,105.90858416945375,1253019, Dubai Science Park
6.0,7.0,2088.6287625418063,31000000, Dubai Hills Estate
1.0,2.0,66.23931623931624,450000, Dubai Production City (IMPZ)
5.0,5.0,497.0271274619101,5199999, Jumeirah Islands
2.0,3.0,113.80527684875511,1193309, Jumeirah Village Circle (JVC)
2.0,3.0,117.61426978818284,1800000, The Views
1.0,1.0,59.82905982905983,890000, Business Bay
5.0,6.0,659.6060943887031,5900000, Arabian Ranches
1.0,2.0,67.81865477517651,750000, Jumeirah Lake Towers (JLT)
4.0,5.0,216.09067261241177,1350000, Town Square
4.0,5.0,223.7086584912672,1790000, Dubai Marina
5.0,5.0,390.18952062430327,3000000, Jumeirah Village Triangle (JVT)
2.0,3.0,128.48383500557415,3000000, Jumeirah Beach Residence (JBR)
3.0,2.0,245.54069119286513,2799999, The Lakes
0.6,1.0,34.46674098848012,425000, Jumeirah Village Circle (JVC)
0.6,1.0,38.83314752879971,522000, DAMAC Hills (Akoya by DAMAC)
5.0,6.0,661.8357487922706,9682888, Dubai Hills Estate
0.6,2.0,58.06391675956894,430000, Jumeirah Village Circle (JVC)
3.0,4.0,181.1594202898551,1260000, Dubailand
0.6,1.0,38.08992939427722,635000, Business Bay
4.0,5.0,541.2486064659978,5000000, Jumeirah Golf Estate
2.0,3.0,89.55778520995914,999000, Dubai South
1.0,2.0,78.22370865849128,710000, Arjan
3.0,2.0,236.90078037904127,1850000, The Greens
1.0,1.0,51.46785581568191,836889, Meydan City
3.0,5.0,189.79933110367895,1650000, DAMAC Hills (Akoya by DAMAC)
1.0,2.0,88.90746934225196,475000, Dubai Sports City
3.0,5.0,325.15793385358603,2050000, DAMAC Hills (Akoya by DAMAC)
3.0,3.0,122.07357859531773,1400000, Jumeirah Lake Towers (JLT)
1.0,1.0,44.77889260497957,540888, Town Square
2.0,2.0,81.84689706428837,750000, Dubai Sports City
1.0,2.0,67.91155704199183,340000, International City
4.0,3.0,403.84615384615387,2875000, Green Community
2.0,3.0,89.65068747677444,1151000, Mudon
4.0,4.0,318.6547751765143,1800000, Jumeirah Village Circle (JVC)
2.0,2.0,112.50464511334077,1550000, Dubai Marina
1.0,2.0,74.32181345224824,560000, Jumeirah Village Circle (JVC)
1.0,2.0,68.561872909699,545000, Dubai Studio City
2.0,2.0,118.82199925678188,1151460, Jumeirah Village Circle (JVC)
3.0,5.0,232.16276477146044,3500000, Jumeirah Beach Residence (JBR)
0.6,1.0,40.22668153102936,540000, The Greens
7.0,7.0,855.8156819026385,12000000, Dubai Hills Estate
2.0,3.0,124.30323299888518,1990000, Old Town
4.0,6.0,306.577480490524,1650000, Jumeirah Village Circle (JVC)
1.0,2.0,71.07023411371237,640000, Dubai Science Park
4.0,5.0,297.28725380899294,4499000, Old Town
3.0,3.0,272.2965440356745,1550000, Motor City
6.0,6.0,789.6692679301375,6100000, The Villa
2.0,3.0,79.24563359345969,715000, Arjan
0.6,1.0,44.964697138610184,238000, International City
2.0,3.0,140.28242289111856,800000, Jumeirah Village Circle (JVC)
2.0,2.0,167.7814938684504,1600000, Jumeirah Lake Towers (JLT)
2.0,2.0,113.71237458193981,940000, Dubai World Central
4.0,6.0,693.2367149758454,11700000, Al Barari
6.0,7.0,1319.2121887774063,12500000, DAMAC Hills (Akoya by DAMAC)
0.6,1.0,51.18914901523598,399000, Dubai Residence Complex
5.0,6.0,733.6492010405054,7098000, Jumeirah Golf Estate
2.0,1.0,114.82720178372352,1390000, The Views
2.0,3.0,136.56633221850615,1570000, Jumeirah Village Circle (JVC)
2.0,3.0,178.27945001858046,3500000, DIFC
2.0,3.0,105.25826830174657,2225888, The Lagoons
2.0,2.0,85.09847640282423,881888, Town Square
3.0,3.0,239.9665551839465,1850000, Jumeirah Village Circle (JVC)
2.0,3.0,189.89223337049424,1700000, Jumeirah Lake Towers (JLT)
0.6,1.0,51.46785581568191,650000, Dubai Marina
5.0,6.0,362.3188405797102,2649990, The Villa
1.0,2.0,86.02749907097734,1049000, Jumeirah Village Circle (JVC)
2.0,3.0,149.10813823857302,1270000, Mudon
5.0,6.0,339.9293942772204,6900000, Palm Jumeirah
3.0,3.0,176.9788182831661,3200000, Business Bay
2.0,2.0,81.75399479747307,740000, Dubai Sports City
