Address,Area,Rooms,Bathrooms,Garage Cars,Price
"Rua Dois, 800 - Augusto Franco, Aracaju - SE",280,4,4,"
                  2
                ","
549900
"
"Farolândia, Aracaju - SE",100,3,2,"
                  2
                ","
360000
"
"Aruana, Aracaju - SE",150,3,2,"
                  2
                ","
650000
"
"Rua Antônio Andrade - Coroa do Meio, Aracaju - SE",450,5,4,"
                  5
                ","
840000
"
"Rua Antônio do Nascimento Rodrigues - Jabotiana, Aracaju - SE",125,3,3,"
                  3
                ","
500000
"
"Praça Saturnino de Brito, 446 - Suíssa, Aracaju - SE",150,3,1,"
                  1
                ","
200000
"
"Rua Campo do Brito, 717 - Treze de Julho, Aracaju - SE",306,5,5,"
                  2
                ","
550000
"
"Rua Gidalvo Dionízio dos Santos, 0 - São Conrado, Aracaju - SE",100,3,2,"
                  1
                ","
210000
"
"Jardins, Aracaju - SE",200,4,4,"
                  3
                ","
680000
"
"Praça Franklin Delano Roosevelt, 7 - América, Aracaju - SE",205,4,2,"
                  1
                ","
370000
"
"Rua Tasso Sobral, 85 - Grageru, Aracaju - SE",300,3,6,"
                  3
                ","
950000
"
"Rua Maria da Glória Cruz, 123 - Zona de Expansao Aruana, Aracaju - SE",250,5,4,"
                  3
                ","
545000
"
"Avenida Inácio Barbosa, 720 - Zona de Expansao Mosqueiro, Aracaju - SE",150,3,2,"
                  4
                ","
380000
"
"Rua B25, 960 - Mosqueiro, Aracaju - SE",453,5,3,"
                  5
                ","
1000000
"
"Rua Anatólio Garcia Moreno - Industrial, Aracaju - SE",120,2,1,"
                  --
                ","
130000
"
"Rua General João Augusto dos Reis, 71 - São Conrado, Aracaju - SE",162,3,2,"
                  2
                ","
340000
"
"Avenida Melício Machado - Aeroporto, Aracaju - SE",320,5,5,"
                  2
                ","
680194
"
"Avenida Mario Jorge Menezes Vieira - Coroa do Meio, Aracaju - SE",250,3,2,"
                  5
                ","
1200000
"
"Rua Capitão José Machado, 68 - Ponto Novo, Aracaju - SE",99,3,1,"
                  --
                ","
150000

Preçoabaixodomercado

"
"Rua Renato Santos Teixeira, 51 - Luzia, Aracaju - SE",225,3,3,"
                  2
                ","
450000
"
"Travessa São Francisco de Assis, 1 - Robalo, Aracaju - SE",500,8,8,"
                  6
                ","
1550000
"
"Rua Lino Bispo Maia - Mosqueiro, Aracaju - SE",130,4,2,"
                  2
                ","
150060
"
"Rua Manoel Andrade, 1 - Coroa do Meio, Aracaju - SE",420,4,5,"
                  6
                ","
990000
"
"Atalaia, Aracaju - SE",225,3,3,"
                  3
                ","
650000
"
"Rua E, 58 - Zona de Expansao Aruana, Aracaju - SE",230,3,2,"
                  2
                ","
390000
"
"Avenida Conselheiro João Moreira Filho, 1 - Atalaia, Aracaju - SE",560,4,5,"
                  3
                ","
980000
"
"Rua Deputado Euclides Paes Mendonça, 839 - Salgado Filho, Aracaju - SE",198,4,3,"
                  1
                ","
550000
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480043
"
"Rua Deuzinha Vieira - Aruana, Aracaju - SE",200,2,1,"
                  2
                ","
250004
"
"Avenida Central, 250 - Olaria, Aracaju - SE",120,2,2,"
                  2
                ","
270000
"
"Rua C, 4379 - Santos Dumont, Aracaju - SE",110,3,2,"
                  1
                ","
250021
"
"Farolândia, Aracaju - SE",220,3,2,"
                  3
                ","
650000
"
"Travessa São João Batista, 172 - Ponto Novo, Aracaju - SE",10,4,3,"
                  1
                ","
270000
"
"Rua Doutor José Luciano Siqueira - Suíssa, Aracaju - SE",300,5,5,"
                  4
                ","
550000
"
"Rua Vereador Oscar Leal, 417 - Pereira Lobo, Aracaju - SE",100,3,1,"
                  1
                ","
350000
"
"Rua Expedicionário Lourival Silva, 240 - Aruana, Aracaju - SE",200,2,2,"
                  1
                ","
320000
"
"Rua Percílio da Costa Andrade - Treze de Julho, Aracaju - SE",202,5,5,"
                  1
                ","
799029
"
"Rua José Cunha Alcântara, 302 - Farolândia, Aracaju - SE",180,5,2,"
                  2
                ","
430000
"
"Rua Carlos Cabral Duarte, 43 - Pereira Lobo, Aracaju - SE",240,3,2,"
                  3
                ","
325000
"
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",200,3,3,"
                  2
                ","
890014
"
"Avenida Poeta Vinícius de Morais, 55 - Atalaia, Aracaju - SE",132,4,3,"
                  2
                ","
490000
"
"Rua Hamilton Lopes Galvão, 238 - Farolândia, Aracaju - SE",200,3,3,"
                  2
                ","
465000
"
"Rua Um, 100 - Coroa do Meio, Aracaju - SE",414,4,5,"
                  3
                ","
1350000
"
"Rua José Alves Pinto Sobrinho, 0 - Mosqueiro, Aracaju - SE",110,2,2,"
                  7
                ","
180000
"
"Rua Odilon Gonçalves da Silveira, 345 - Aruana, Aracaju - SE",300,3,4,"
                  2
                ","
798900
"
"Avenida Mamede Paes Mendonça, 0 - Centro, Aracaju - SE",150,2,1,"
                  1
                ","
200000
"
"Rua Barra dos Coqueiros, 85 - Novo Paraíso, Aracaju - SE",97,3,3,"
                  1
                ","
200000
"
"São Conrado, Aracaju - SE",85,3,2,"
                  2
                ","
300000
"
"Rodovia Ecologista Chico Mendes - Zona de Expansao Areia Branca, Aracaju - SE",500,2,2,"
                  4
                ","
1600175
"
"Rua José Deodoro Santos, 1 - Luzia, Aracaju - SE",10,3,1,"
                  --
                ","
350000
"
"Rua João Carvalho de Aragão, 319 - Atalaia, Aracaju - SE",200,4,4,"
                  5
                ","
630000
"
"Rua Euclides Góis, 1382 - Coroa do Meio, Aracaju - SE",510,3,3,"
                  6
                ","
850000
"
"Avenida Melício Machado - Aeroporto, Aracaju - SE",320,5,5,"
                  2
                ","
680059
"
Barra dos Coqueiros - SE,103,3,1,"
                  --
                ","
310075
"
"Rua José Pereira de Oliveira, 376 - América, Aracaju - SE",86,2,2,"
                  --
                ","
135000
"
"Rodovia dos Náufragos, 8750 - Zona de Expansao Robalo, Aracaju - SE",320,5,7,"
                  4
                ","
1300000
"
"Rua Divina Pastora, 0000 - Centro, Aracaju - SE",165,3,2,"
                  2
                ","
280000
"
"Rua Oscar Valois Galvão, 82 - Grageru, Aracaju - SE",180,4,4,"
                  1
                ","
470000
"
"Rua H, 121 - Aruana, Aracaju - SE",220,3,2,"
                  3
                ","
550000
"
"Rua das Dunas, 76 - Aeroporto, Aracaju - SE",200,3,2,"
                  1
                ","
350000
"
"Rua Joana dos Santos Aragão, 50 - Farolândia, Aracaju - SE",300,4,5,"
                  2
                ","
750000
"
"Aeroporto, Aracaju - SE",150,3,3,"
                  2
                ","
420000
"
"Rua dos Cocos, 1 - Aeroporto, Aracaju - SE",176,5,1,"
                  1
                ","
400000
"
"Avenida Augusto Franco, 3500 - Ponto Novo, Aracaju - SE",204,4,5,"
                  3
                ","
799000
"
"Rua Maria Cécilia dos Santos, 372 - Farolândia, Aracaju - SE",162,2,1,"
                  --
                ","
250000
"
"Rua C, 30 - Soledade, Aracaju - SE",126,3,2,"
                  1
                ","
139000
"
"Rua Maruim - Centro, Aracaju - SE",330,2,5,"
                  --
                ","
680112
"
"Rua Maria de Lourdes Souza Santos, 10 - Cidade Nova, Aracaju - SE",45,2,1,"
                  --
                ","
70000
"
"Rua Oswaldo Garavini, 72 - Jabotiana, Aracaju - SE",160,3,4,"
                  2
                ","
500000
"
"Rua Ecologista Chico Mendes, 18 - Farolândia, Aracaju - SE",360,5,4,"
                  2
                ","
840000
"
"Rua José de Souza Batista, 601 - Matapoã, Aracaju - SE",154,2,2,"
                  4
                ","
330000
"
"Avenida Doutor José Calumby, 1003 - Suíssa, Aracaju - SE",218,5,4,"
                  2
                ","
480000
"
"Avenida Fábio José Cardoso Ramos - Aeroporto, Aracaju - SE",230,4,4,"
                  2
                ","
500123
"
"Rua Sergipe, 38 - Siqueira Campos, Aracaju - SE",162,3,2,"
                  2
                ","
280000
"
"Travessa Sálvio Oliveira, 94 - Suíssa, Aracaju - SE",380,5,4,"
                  3
                ","
1100000
"
Itaporanga D'Ajuda - SE,100,3,2,"
                  5
                ","
250012
"
"Rua José Augusto dos Santos, 1000 - Farolândia, Aracaju - SE",162,5,5,"
                  2
                ","
600000
"
"Atalaia, Aracaju - SE",1500,6,2,"
                  6
                ","
2600000
"
"Aeroporto, Aracaju - SE",99,2,2,"
                  1
                ","
280000
"
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",369,5,4,"
                  2
                ","
1500000
"
